"","FeatureName","FeatureType","DateCode","Waste.Management","Tonnes"
"354","Aberdeenshire","Council Area",2011,"Other Diversion",0
"355","Angus","Council Area",2011,"Other Diversion",13482.5
"356","Argyll and Bute","Council Area",2011,"Other Diversion",7536.8
"357","City of Edinburgh","Council Area",2011,"Other Diversion",2170.6
"358","Clackmannanshire","Council Area",2011,"Other Diversion",367.9
"359","Dumfries and Galloway","Council Area",2011,"Other Diversion",30781.7
"360","Dundee City","Council Area",2011,"Other Diversion",38263.3
"361","East Ayrshire","Council Area",2011,"Other Diversion",66.4
"362","East Dunbartonshire","Council Area",2011,"Other Diversion",1259.9
"363","East Lothian","Council Area",2011,"Other Diversion",2087.1
"364","East Renfrewshire","Council Area",2011,"Other Diversion",514.7
"365","Falkirk","Council Area",2011,"Other Diversion",0
"366","Fife","Council Area",2011,"Other Diversion",974.7
"367","Glasgow City","Council Area",2011,"Other Diversion",0
"368","Highland","Council Area",2011,"Other Diversion",2020.8
"369","Inverclyde","Council Area",2011,"Other Diversion",0
"370","Midlothian","Council Area",2011,"Other Diversion",59.8
"371","Moray","Council Area",2011,"Other Diversion",0
"372","Na h-Eileanan Siar","Council Area",2011,"Other Diversion",2227.6
"373","North Ayrshire","Council Area",2011,"Other Diversion",80.8
"374","North Lanarkshire","Council Area",2011,"Other Diversion",220.8
"375","Orkney Islands","Council Area",2011,"Other Diversion",5557.5
"376","Perth and Kinross","Council Area",2011,"Other Diversion",995.5
"377","Renfrewshire","Council Area",2011,"Other Diversion",2449.8
"378","Scottish Borders","Council Area",2011,"Other Diversion",236.2
"379","Shetland Islands","Council Area",2011,"Other Diversion",9684.1
"380","South Ayrshire","Council Area",2011,"Other Diversion",1362.1
"381","South Lanarkshire","Council Area",2011,"Other Diversion",398.8
"382","Stirling","Council Area",2011,"Other Diversion",0
"383","West Dunbartonshire","Council Area",2011,"Other Diversion",29.3
"384","West Lothian","Council Area",2011,"Other Diversion",271.1
"385","Aberdeen City","Council Area",2012,"Other Diversion",12
"386","Aberdeenshire","Council Area",2012,"Other Diversion",0
"387","Angus","Council Area",2012,"Other Diversion",3564.4
"388","Argyll and Bute","Council Area",2012,"Other Diversion",6852.8
"389","City of Edinburgh","Council Area",2012,"Other Diversion",2444.2
"390","Clackmannanshire","Council Area",2012,"Other Diversion",1442.8
"391","Dumfries and Galloway","Council Area",2012,"Other Diversion",36651.5
"392","Dundee City","Council Area",2012,"Other Diversion",14653.1
"393","East Ayrshire","Council Area",2012,"Other Diversion",60.6
"394","East Dunbartonshire","Council Area",2012,"Other Diversion",1212.5
"395","East Lothian","Council Area",2012,"Other Diversion",4685.7
"396","East Renfrewshire","Council Area",2012,"Other Diversion",84.4
"397","Falkirk","Council Area",2012,"Other Diversion",1870
"398","Fife","Council Area",2012,"Other Diversion",992.6
"399","Glasgow City","Council Area",2012,"Other Diversion",0
